iter	Passed	Remaining
649	50203	104269
650	50283	104198
651	50361	104121
652	50455	104079
653	50548	104034
654	50628	103961
655	50704	103881
656	50773	103788
657	50844	103698
658	50934	103647
659	51035	103617
660	51115	103546
661	51189	103461
662	51269	103390
663	51352	103323
664	51428	103244
665	51508	103170
666	51584	103091
667	51671	103034
668	51751	102961
669	51833	102893
670	51909	102814
671	51985	102732
672	52048	102628
673	52119	102537
674	52205	102476
675	52278	102390
676	52351	102306
677	52430	102232
678	52503	102146
679	52594	102094
680	52681	102037
681	52758	101958
682	52832	101875
683	52905	101789
684	52986	101718
685	53063	101639
686	53139	101560
687	53212	101475
688	53284	101387
689	53354	101295
690	53440	101235
691	53514	101151
692	53593	101077
693	53670	100998
694	53754	100934
695	53847	100887
696	53924	100808
697	54010	100747
698	54094	100682
699	54178	100618
700	54258	100544
701	54338	100472
702	54419	100402
703	54520	100366
704	54602	100297
705	54676	100214
706	54767	100161
707	54848	100089
708	54929	100019
709	55004	99937
710	55082	99861
711	55163	99789
712	55239	99710
713	55331	99658
714	55415	99592
715	55488	99507
716	55580	99455
717	55671	99402
718	55768	99359
719	55859	99305
720	55938	99230
721	56016	99154
722	56103	99092
723	56180	99013
724	56258	98936
725	56336	98860
726	56401	98760
727	56491	98705
728	56578	98643
729	56644	98546
730	56715	98456
731	56784	98364
732	56864	98290
733	56918	98172
734	56995	98093
735	57076	98021
736	57147	97934
737	57222	97852
738	57298	97772
739	57375	97692
740	57453	97616
741	57525	97530
742	57600	97447
743	57690	97390
744	57767	97312
745	57850	97245
746	57932	97175
747	58015	97106
748	58093	97029
749	58170	96950
750	58252	96880
751	58338	96817
752	58413	96734
753	58495	96665
754	58583	96604
755	58656	96519
756	58734	96442
757	58810	96362
758	58893	96293
759	58984	96237
760	59071	96174
761	59157	96111
762	59210	95994
763	59286	95914
764	59374	95853
765	59461	95790
766	59539	95713
767	59640	95672
768	59720	95599
769	59806	95535
770	59879	95449
771	59971	95395
772	60049	95318
773	60129	95243
774	60197	95150
775	60263	95054
776	60341	94977
777	60418	94898
778	60496	94821
779	60567	94734
780	60647	94659
781	60718	94572
782	60803	94505
783	60888	94438
784	60970	94368
785	61054	94300
786	61128	94217
787	61206	94139
788	61288	94068
789	61375	94005
790	61447	93918
791	61529	93847
792	61606	93768
793	61681	93687
794	61770	93627
795	61855	93560
796	61940	93493
797	62017	93415
798	62084	93320
799	62160	93241
800	62225	93143
801	62300	93062
802	62375	92980
803	62459	92912
804	62542	92841
805	62631	92781
806	62712	92708
807	62793	92635
808	62868	92554
809	62941	92469
810	63019	92392
811	63106	92327
812	63190	92259
813	63274	92191
814	63358	92122
815	63443	92055
816	63527	91985
817	63611	91918
818	63697	91852
819	63775	91774
820	63858	91704
821	63946	91640
822	64027	91567
823	64095	91475
824	64174	91400
825	64255	91327
826	64344	91265
827	64433	91203
828	64526	91146
829	64582	91038
830	64673	90978
831	64758	90911
832	64845	90846
833	64912	90752
834	64990	90675
835	65073	90604
836	65158	90537
837	65233	90454
838	65303	90366
839	65381	90288
840	65465	90219
841	65566	90173
842	65646	90098
843	65725	90022
844	65798	89937
845	65870	89851
846	65956	89785
847	66044	89720
848	66118	89637
849	66195	89559
850	66269	89475
851	66343	89392
852	66425	89319
853	66502	89241
854	66580	89163
855	66656	89082
856	66737	89009
857	66813	88929
858	66889	88849
859	66965	88768
860	67037	88682
861	67114	88603
862	67205	88542
863	67283	88465
864	67366	88393
865	67444	88316
866	67532	88251
867	67608	88171
868	67683	88089
869	67761	88012
870	67840	87936
871	67914	87853
872	67984	87765
873	68069	87695
874	68153	87625
875	68239	87558
876	68305	87464
877	68374	87375
878	68448	87292
879	68520	87207
880	68604	87138
881	68700	87083
882	68785	87014
883	68852	86922
884	68945	86863
885	69032	86796
886	69122	86733
887	69196	86651
888	69285	86587
889	69376	86525
890	69454	86447
891	69534	86372
892	69617	86300
893	69703	86232
894	69794	86171
895	69887	86111
896	69962	86029
897	70044	85956
898	70120	85875
899	70205	85806
900	70277	85721
901	70360	85649
902	70426	85556
903	70507	85482
904	70586	85405
905	70668	85332
906	70752	85261
907	70828	85181
908	70913	85111
909	71005	85050
910	71099	84991
911	71172	84907
912	71250	84829
913	71314	84734
914	71390	84654
915	71484	84594
916	71565	84520
917	71642	84441
918	71727	84371
919	71809	84298
920	71901	84236
921	71989	84170
922	72073	84098
923	72158	84028
924	72224	83936
925	72304	83861
926	72381	83781
927	72465	83710
928	72529	83615
929	72617	83549
930	72678	83451
931	72759	83377
932	72839	83300
933	72917	83222
934	72994	83143
935	73070	83063
936	73150	82986
937	73221	82901
938	73288	82810
939	73368	82735
940	73442	82652
941	73521	82574
942	73597	82494
943	73670	82411
944	73750	82335
945	73823	82251
946	73894	82165
947	73967	82081
948	74028	81984
949	74093	81893
950	74183	81828
951	74253	81740
952	74338	81670
953	74408	81584
954	74475	81493
955	74558	81421
956	74646	81354
957	74679	81227
958	74763	81156
959	74846	81083
960	74915	80995
961	74994	80918
962	75072	80841
963	75149	80762
964	75231	80689
965	75313	80614
966	75395	80541
967	75475	80465
968	75548	80382
969	75621	80299
970	75692	80213
971	75772	80137
972	75856	80066
973	75933	79987
974	76028	79927
975	76108	79851
976	76179	79766
977	76247	79677
978	76323	79597
979	76397	79515
980	76486	79448
981	76565	79372
982	76630	79280
983	76710	79205
984	76792	79131
985	76861	79044
986	76942	78969
987	77031	78902
988	77116	78831
989	77191	78750
990	77267	78671
991	77356	78604
992	77434	78525
993	77518	78454
994	77599	78378
995	77674	78298
996	77746	78214
997	77829	78141
998	77905	78061
999	77999	77999
1000	78077	77921
1001	78144	77832
1002	78215	77747
1003	78302	77678
1004	78397	77617
1005	78463	77527
1006	78565	77473
1007	78650	77401
1008	78738	77334
1009	78815	77254
1010	78882	77165
1011	78954	77082
1012	79038	77009
1013	79108	76924
1014	79188	76847
1015	79257	76760
1016	79335	76683
1017	79412	76604
1018	79506	76541
1019	79577	76457
1020	79653	76376
1021	79739	76306
1022	79813	76224
1023	79907	76161
1024	79978	76076
1025	80057	76000
1026	80143	75929
1027	80236	75866
1028	80333	75805
1029	80426	75741
1030	80503	75662
1031	80590	75592
1032	80679	75524
1033	80762	75451
1034	80852	75383
1035	80935	75310
1036	81025	75243
1037	81108	75170
1038	81185	75091
1039	81287	75034
1040	81377	74967
1041	81464	74897
1042	81533	74811
1043	81608	74729
1044	81692	74657
1045	81778	74585
1046	81859	74510
1047	81944	74437
1048	82021	74359
1049	82097	74278
1050	82168	74193
1051	82253	74122
1052	82332	74044
1053	82413	73968
1054	82490	73889
1055	82580	73821
1056	82669	73753
1057	82762	73688
1058	82851	73619
1059	82934	73545
1060	83019	73473
1061	83094	73392
1062	83191	73330
1063	83278	73259
1064	83357	73182
1065	83438	73106
1066	83521	73032
1067	83600	72954
1068	83681	72879
1069	83758	72799
1070	83848	72731
1071	83934	72659
1072	84014	72582
1073	84114	72523
1074	84202	72453
1075	84290	72383
1076	84375	72310
1077	84458	72236
1078	84539	72160
1079	84617	72081
1080	84693	72001
1081	84776	71926
1082	84864	71856
1083	84948	71783
1084	85024	71702
1085	85104	71625
1086	85178	71543
1087	85269	71476
1088	85352	71400
1089	85437	71328
1090	85511	71246
1091	85597	71174
1092	85665	71087
1093	85739	71005
1094	85825	70933
1095	85913	70863
1096	85988	70781
1097	86062	70699
1098	86148	70627
1099	86236	70557
1100	86309	70474
1101	86398	70404
1102	86480	70329
1103	86553	70246
1104	86632	70168
1105	86705	70085
1106	86782	70006
1107	86861	69928
1108	86928	69840
1109	86989	69748
1110	87067	69669
1111	87148	69593
1112	87250	69534
1113	87322	69450
1114	87403	69374
1115	87486	69299
1116	87555	69213
1117	87640	69140
1118	87721	69063
1119	87802	68987
1120	87889	68916
1121	87967	68836
1122	88045	68758
1123	88131	68686
1124	88220	68616
1125	88304	68541
1126	88404	68480
1127	88482	68401
1128	88555	68319
1129	88632	68238
1130	88715	68163
1131	88799	68090
1132	88875	68009
1133	88968	67942
1134	89054	67869
1135	89125	67785
1136	89215	67715
1137	89280	67626
1138	89353	67544
1139	89439	67471
1140	89518	67394
1141	89608	67324
1142	89698	67253
1143	89782	67180
1144	89865	67105
1145	89947	67028
1146	90037	66958
1147	90111	66877
1148	90189	66798
1149	90286	66733
1150	90374	66661
1151	90462	66590
1152	90566	66530
1153	90657	66461
1154	90740	66386
1155	90815	66304
1156	90890	66223
1157	90973	66148
1158	91048	66066
1159	91138	65997
1160	91226	65924
1161	91309	65849
1162	91390	65773
1163	91460	65687
1164	91557	65622
1165	91636	65544
1166	91718	65468
1167	91787	65382
1168	91862	65301
1169	91928	65214
1170	91995	65127
1171	92064	65042
1172	92150	64968
1173	92220	64884
1174	92292	64800
1175	92367	64719
1176	92438	64636
1177	92508	64551
1178	92598	64481
1179	92678	64403
1180	92791	64348
1181	92929	64311
1182	93009	64233
1183	93079	64149
1184	93157	64070
1185	93227	63985
1186	93319	63916
1187	93395	63835
1188	93480	63761
1189	93535	63667
1190	93605	63582
1191	93685	63505
1192	93768	63429
1193	93848	63351
1194	93914	63264
1195	93977	63175
1196	94051	63093
1197	94127	63013
1198	94212	62939
1199	94305	62870
1200	94390	62796
1201	94470	62718
1202	94535	62630
1203	94622	62557
1204	94711	62486
1205	94799	62413
1206	94884	62339
1207	94946	62249
1208	95034	62177
1209	95103	62092
1210	95166	62003
1211	95259	61934
1212	95344	61860
1213	95428	61784
1214	95514	61710
1215	95588	61629
1216	95674	61555
1217	95764	61484
1218	95852	61411
1219	95936	61336
1220	96024	61263
1221	96102	61184
1222	96173	61101
1223	96252	61022
1224	96322	60938
1225	96397	60858
1226	96487	60786
1227	96563	60706
1228	96641	60627
1229	96711	60543
1230	96791	60465
1231	96879	60392
1232	96966	60319
1233	97043	60239
1234	97126	60163
1235	97207	60086
1236	97287	60008
1237	97369	59931
1238	97447	59852
1239	97522	59771
1240	97599	59692
1241	97680	59615
1242	97762	59538
1243	97837	59457
1244	97918	59380
1245	98009	59308
1246	98105	59240
1247	98205	59174
1248	98302	59107
1249	98413	59048
1250	98510	58980
1251	98599	58907
1252	98671	58825
1253	98761	58752
1254	98839	58673
1255	98918	58595
1256	98997	58516
1257	99076	58437
1258	99153	58357
1259	99232	58279
1260	99322	58207
1261	99403	58129
1262	99478	58048
1263	99556	57969
1264	99644	57896
1265	99719	57815
1266	99800	57738
1267	99879	57659
1268	99966	57585
1269	100050	57509
1270	100113	57421
1271	100194	57343
1272	100264	57260
1273	100340	57180
1274	100408	57095
1275	100492	57019
1276	100582	56946
1277	100676	56876
1278	100766	56804
1279	100831	56717
1280	100898	56632
1281	100982	56556
1282	101067	56481
1283	101139	56398
1284	101204	56312
1285	101282	56233
1286	101361	56154
1287	101432	56071
1288	101513	55994
1289	101600	55919
1290	101692	55848
1291	101791	55780
1292	101866	55699
1293	101965	55632
1294	102085	55575
1295	102198	55514
1296	102294	55445
1297	102411	55387
1298	102511	55319
1299	102603	55248
1300	102683	55169
1301	102778	55099
1302	102874	55029
1303	102964	54956
1304	103054	54883
1305	103147	54811
1306	103250	54745
1307	103354	54679
1308	103446	54607
1309	103531	54531
1310	103622	54459
1311	103709	54384
1312	103787	54304
1313	103870	54227
1314	103955	54151
1315	104032	54071
1316	104104	53989
1317	104179	53907
1318	104252	53825
1319	104321	53741
1320	104407	53665
1321	104485	53586
1322	104578	53514
1323	104646	53429
1324	104743	53360
1325	104838	53289
1326	104910	53206
1327	104984	53124
1328	105069	53048
1329	105159	52974
1330	105239	52896
1331	105310	52813
1332	105393	52736
1333	105473	52657
1334	105551	52577
1335	105637	52502
1336	105723	52426
1337	105788	52340
1338	105877	52266
1339	105963	52190
1340	106045	52113
1341	106117	52030
1342	106203	51954
1343	106273	51871
1344	106354	51793
1345	106439	51717
1346	106523	51640
1347	106599	51560
1348	106684	51483
1349	106758	51402
1350	106845	51326
1351	106939	51255
1352	107033	51183
1353	107114	51104
1354	107191	51024
1355	107276	50948
1356	107370	50876
1357	107434	50790
1358	107509	50709
1359	107576	50624
1360	107654	50544
1361	107729	50463
1362	107812	50386
1363	107884	50303
1364	107968	50227
1365	108056	50152
1366	108144	50077
1367	108233	50002
1368	108327	49930
1369	108414	49854
1370	108498	49777
1371	108585	49702
1372	108668	49625
1373	108735	49540
1374	108822	49464
1375	108901	49385
1376	108970	49301
1377	109051	49223
1378	109132	49145
1379	109214	49067
1380	109291	48987
1381	109372	48909
1382	109456	48832
1383	109543	48756
1384	109618	48675
1385	109690	48592
1386	109771	48514
1387	109839	48430
1388	109927	48355
1389	110011	48278
1390	110083	48196
1391	110161	48116
1392	110257	48044
1393	110324	47960
1394	110405	47881
1395	110474	47798
1396	110556	47720
1397	110615	47632
1398	110690	47551
1399	110770	47472
1400	110837	47388
1401	110945	47321
1402	111023	47242
1403	111121	47171
1404	111212	47096
